Atomic Utterance Examples

Format: example_id | utterance | intent_id | intent_name | language | example_type | source | requires_context | notes
EX_TOPUP_004 | mau masuk | INT_TOPUP | Top Up / Deposit | id | action-request | original-source/top-up-deposit.txt | true | object may require conversation context
EX_TOPUP_005 | rek mana | INT_TOPUP | Top Up / Deposit | id | ambiguous | original-source/top-up-deposit.txt | true | intentionally retained near-neighbor with payment details
EX_TOPUP_006 | transfer kemana | INT_TOPUP | Top Up / Deposit | id | continuation | original-source/top-up-deposit.txt | true | active top-up flow required

EX_STATUS_001 | udah masuk? | INT_TX_STATUS | Transaction Status | id | status-request | original-source/transaction-status.txt | true | transaction must be identifiable from context
EX_STATUS_002 | sudah? | INT_TX_STATUS | Transaction Status | id | continuation | original-source/transaction-status.txt | true | inherently ambiguous without prior turn
EX_STATUS_003 | gimana statusnya | INT_TX_STATUS | Transaction Status | id | status-request | original-source/transaction-status.txt | true | transaction must be identifiable
EX_STATUS_004 | kok belum | INT_TX_STATUS | Transaction Status | id | status-request | original-source/transaction-status.txt | true | near-neighbor of complaint
EX_STATUS_005 | masih proses? | INT_TX_STATUS | Transaction Status | id | status-request | original-source/transaction-status.txt | true | transaction must be identifiable
EX_STATUS_006 | done? | INT_TX_STATUS | Transaction Status | en | status-request | original-source/transaction-status.txt | true | transaction must be identifiable
